   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.88844,             0.93023,               0.948,             0.63441,            0.030435,            0.012485,                   0,             0.00736,             0.01101,             0.85958,              0.0006,              2.8297,              0.9452,              0.1476,             0.05142,             0.37889,              1.1258,              1.2725,             0.72612,                 0.2,              7.3499,                   0,             0.00613,             0.74689,             0.50838,                   0,             0.07324,             0.50165,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,              2.0346
             0.90508,             0.88702,               0.934,             0.55204,            0.034218,            0.013928,                   0,             0.00704,             0.01069,             0.85033,             0.00057,              2.9457,                0.95,             0.15979,             0.05213,             0.41768,              1.1759,              1.3505,             0.77365,                 0.2,              6.7557,                   0,             0.00586,             0.78127,             0.40394,                   0,             0.07258,             0.46588,                   0,                   0,                   0,                 0.5,             0.96434,                   0,                   0,                   2
              0.8775,             0.87209,             0.93784,             0.66779,            0.031254,            0.012485,                   0,              0.0072,              0.0118,             0.85474,             0.00061,              3.1933,                0.95,              0.1476,             0.05403,             0.37688,              1.1448,              1.2718,             0.72127,                 0.2,              7.2704,                   0,             0.00623,             0.77282,             0.48109,                   0,             0.07324,              0.4896,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.91584,             0.88577,             0.94219,             0.61191,            0.030226,              0.0118,                   0,             0.00688,             0.01097,             0.85999,             0.00061,              2.9471,                0.95,             0.14896,             0.05193,             0.37526,               1.141,              1.2219,             0.66691,                 0.2,              7.3722,                   0,             0.00631,             0.74599,             0.47709,                   0,             0.07514,             0.49895,                   0,                   0,                   0,                 0.5,             0.97348,                   0,                   0,              2.0203
             0.92375,             0.89535,             0.94689,             0.62386,            0.032213,            0.011828,                   0,             0.00716,             0.01196,             0.84104,             0.00061,              2.9373,                0.95,              0.1477,             0.05242,             0.40414,              1.2426,              1.1935,             0.69976,                 0.2,              7.7572,                   0,             0.00642,              0.7358,             0.48667,                   0,             0.07206,             0.42089,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.93716,             0.86711,             0.95844,             0.59458,            0.034488,            0.011935,                   0,              0.0069,                0.01,             0.87003,             0.00061,              2.9042,             0.74764,             0.16374,             0.05242,             0.38237,              1.1459,              1.2219,             0.66435,                 0.2,              6.8812,                   0,              0.0068,             0.73608,              0.5773,                   0,             0.07832,             0.52855,                   0,                   0,                   0,                 0.5,             0.95793,                   0,                   0,                   2
             0.91603,             0.88793,             0.94592,             0.61782,            0.036964,            0.011929,                   0,             0.00719,             0.01097,              0.8672,             0.00061,              3.0771,                0.95,              0.1477,             0.05608,             0.35926,              1.0942,              1.3172,             0.65144,                 0.2,                   8,                   0,             0.00634,             0.73608,             0.47709,                   0,              0.0683,             0.51153,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1056
             0.91352,             0.85981,             0.93934,               0.661,            0.030571,           0.0092543,                   0,             0.00808,             0.01223,             0.89707,             0.00063,              2.9448,                0.95,             0.14911,             0.05242,             0.38122,              1.3625,               1.068,             0.60355,                 0.2,              7.4714,                   0,             0.00682,              0.7279,             0.59684,                   0,             0.07319,             0.47391,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,              2.0011
             0.89238,             0.87209,             0.94033,             0.63006,            0.034383,            0.011338,                   0,             0.00808,             0.01223,             0.88975,             0.00061,              2.3579,                0.95,             0.11131,             0.05242,             0.33581,              1.5023,              1.0843,             0.78993,                 0.2,              7.4714,                   0,             0.00674,             0.79175,             0.59684,                   0,             0.07049,             0.46871,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.86731,             0.91206,              0.9456,             0.62407,            0.027978,           0.0084023,                   0,             0.00808,             0.01268,             0.83902,             0.00084,              2.9448,                0.95,             0.13155,             0.05242,             0.38122,              1.7732,              0.7314,             0.56409,                 0.2,              7.1479,                   0,             0.00782,             0.34478,              0.5486,                   0,             0.07319,             0.46833,                   0,                   0,                   0,                 0.5,             0.90329,                   0,                   0,               4.122
             0.93808,             0.86047,             0.92908,             0.58735,            0.023708,           0.0093143,                   0,             0.00889,             0.01265,             0.89707,              0.0007,              2.8899,                0.95,             0.17798,             0.04016,             0.33828,              1.4423,              1.0036,             0.60355,                 0.2,              6.7719,                   0,             0.00682,             0.81595,             0.49574,                   0,              0.0468,             0.37261,                   0,                   0,                   0,                 0.5,             0.87264,                   0,                   0,               2.768
              0.9269,             0.88468,             0.92394,             0.60886,             0.02697,            0.010544,                   0,             0.00754,             0.01266,             0.89707,             0.00073,              2.9448,                0.95,             0.14911,             0.04315,             0.34885,              1.0679,              1.3533,             0.52072,                 0.2,              7.7886,                   0,             0.00205,              0.7279,             0.59684,                   0,             0.07362,              0.5935,                   0,                   0,                   0,                 0.5,             0.68624,                   0,                   0,              2.0011
